airport_id,name,city,country,iata_faa,latitude,longitude
7084,Anacortes Airport,Anacortes,United States,OTS,48.498889,-122.6625
7085,Astoria Regional Airport,Astoria,United States,AST,46.157972,-123.878694
7086,Newport Municipal Airport,Newport,United States,ONP,44.580361,-124.057917
7087,Emmonak Airport,Emmonak,United States,EMK,62.786111,-164.490833
7088,Unalakleet Airport,Unalakleet,United States,UNK,63.888333,-160.798889
7089,Ugnu-Kuparuk Airport,Kuparuk,United States,UUK,70.330833,-149.5975
7090,Shageluk Airport,Shageluk,United States,SHX,62.692222,-159.569167
7091,Chuathbaluk Airport,Chuathbaluk,United States,CHU,61.579167,-159.215556
7092,Nuiqsut Airport,Nuiqsut,United States,NUI,70.21,-151.005556
7093,Eek Airport,Eek,United States,EEK,60.213611,-162.043889
7094,Kasigluk Airport,Kasigluk,United States,KUK,60.873333,-162.524444
7095,Kwethluk Airport,Kwethluk,United States,KWT,60.790278,-161.443611
7096,Kwigillingok Airport,Kwigillingok,United States,KWK,59.876389,-163.168611
7097,Marshall Don Hunter Sr. Airport,Marshall,United States,MLL,61.8646418,-162.026111
7098,Russian Mission Airport,Russian Mission,United States,RSH,61.775,-161.319444
7099,Tuntutuliak Airport,Tuntutuliak,United States,WTL,60.335278,-162.666944
7100,Ekwok Airport,Ekwok,United States,KEK,59.356944,-157.471111
7101,Koliganek Airport,Koliganek,United States,KGK,59.726667,-157.259444
7102,Levelock Airport,Levelock,United States,KLL,59.128056,-156.858611
7103,Manokotak Airport,Manokotak,United States,KMO,58.990278,-159.05
7104,Twin Hills Airport,Twin Hills,United States,TWA,59.074444,-160.275
7105,Chalkyitsik Airport,Chalkyitsik,United States,CIK,66.645,-143.74
7106,Eagle Airport,Eagle,United States,EAA,64.778056,-141.149722
7107,Hughes Airport,Hughes,United States,HUS,66.039167,-154.264722
7108,Huslia Airport,Huslia,United States,HSL,65.697778,-156.351389
7109,Livingood Airport,Livingood,United States,LIV,65.531111,-148.541111
7110,Minto Airport,Minto,United States,MNT,65.143611,-149.37
7111,Nulato Airport,Nulato,United States,NUL,64.729444,-158.074167
7112,Rampart Airport,Rampart,United States,RMP,65.507778,-150.140833
7113,Tanana Airport,Tanana,United States,TAL,65.179556,-152.075833
7114,Venetie Airport,Venetie,United States,VEE,67.008611,-146.366389
7115,Beaver Airport,Beaver,United States,WBQ,66.362222,-147.406667
7116,Central Airport,Central,United States,CEM,65.573889,-144.780833
7117,Shungnak Airport,Shungnak,United States,SHG,66.888056,-157.1625
7118,Birch Creek Airport,Brich Creek,United States,KBC,66.256708,-145.815319
7119,Coldfoot Airport,Coldfoot,United States,CXF,67.251389,-150.176111
7120,Inyokern Airport,Inyokern,United States,IYK,35.658889,-117.829444
7121,Visalia Municipal Airport,Visalia,United States,VIS,36.318611,-119.392778
7122,Merced Municipal Airport,Merced,United States,MCE,37.284722,-120.513889
7123,Laguna de Los Patos International Airport,Colonia,Uruguay,CYR,-34.4564,-57.7706
7124,Camelo,Camelo,Uruguay,,-33.963882,-58.288612
7125,Amarais Airport,Campinas,Brazil,CPQ,-22.8592,-47.1082
7126,Phoenix Goodyear,Goodyear,United States,,33.423725,-112.374456
7127,Park City,Park City,United States,,40.659444,-111.4997222
7128,Toowoomba,Toowoomba,Australia,TWB,-27.542778,151.916389
7129,Ballera,Ballera,Australia,,-27.408333,141.808333
7130,Gatton,Gatton,Australia,,-27.55830002,152.3419952
7131,Arkalyk Airport,Arkalyk,Kazakhstan,AYK,50.2395,66.941
7132,Hamburger Hafen,Hamburg,Germany,,53.542369,9.981592
7133,Flugplatz Fehmarn-Neujellingsdorf,Neujellingsdorf,Germany,,54.455802,11.109273
7134,Nabern Teck,Kirchheim-Teck,Germany,,48.3676,9.2863
7135,Angoon Seaplane Base,Angoon,United States,AGN,57.503611,-134.585
7136,Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,58.195278,-136.3475
7137,Tenakee Seaplane Base,Tenakee Springs,United States,TKE,57.779722,-135.218333
7138,Pelican Seaplane Base,Pelican,United States,PEC,57.955278,-136.236389
7139,Chatham Seaplane Base,Sitka,United States,CYM,57.515,-134.946111
7140,Funter Bay Seaplane Base,Funter Bay,United States,FNR,58.254444,-134.897778
7141,Excursion Inlet Seaplane Base,Excursion Inlet,United States,EXI,58.420556,-135.449167
7142,Hoonah Airport,Hoonah,United States,HNH,58.096111,-135.409722
7143,Kake Airport,Kake,United States,AFE,56.961389,-133.910278
7144,Craig Seaplane Base,Craig,United States,CGA,55.478889,-133.147778
7145,Hollis Seaplane Base,Hollis,United States,HYL,55.481667,-132.646111
7146,Metlakatla Seaplane Base,Metakatla,United States,MTM,55.131111,-131.578056
7147,Thorne Bay Seaplane Base,Thorne Bay,United States,KTB,55.688056,-132.536667
7148,Hydaburg Seaplane Base,Hydaburg,United States,HYG,55.206389,-132.828333
7149,Hyder Seaplane Base,Hyder,United States,WHD,55.903333,-130.006667
7150,Point Baker Seaplane Base,Point Baker,United States,KPB,56.351944,-133.6225
